,Share,Sector,Cap Category,Last Traded Price,High Price,Low Price,Yearly,Q1,Q2,Q3,Category
103,ATFL,FMCG-FOOD,SmallCap,508.55,514.75,501.2,9.52,2.63,2.96,2.52,YES
104,MANGALAM,PHARMA,MiniCap,193.45,194.45,186.0,10.13,2.4,3.5,3.22,NO
105,MOIL,METALS AND MINING,SmallCap,333.45,336.85,327.3,10.28,0.78,1.27,2.81,YES
106,SRF,DIVERSIFIED,MidCap,1779.7,1817.95,1767.05,73.66,17.53,18.95,25.11,YES
107,GEECEE,REALTY,MiniCap,138.85,140.8,138.05,14.48,2.16,5.4,2.64,YES
108,ONMOBILE,IT,MiniCap,82.7,83.75,82.5,-1.16,-0.7,-0.56,0.84,NO
109,TINPLATE,METALS AND MINING,MiniCap,88.7,92.25,88.5,7.01,2.13,0.68,0.19,YES
110,UNICHEMLAB,PHARMA,SmallCap,262.9,265.7,262.0,12.18,2.56,3.09,2.83,YES
111,HERCULES,INFRA-MACHINERY EQUIPMENT,MiniCap,163.05,165.0,162.5,4.15,0.78,-0.23,0.81,NO
112,KTIL,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,MiniCap,206.2,209.7,206.1,29.58,6.81,8.01,7,YES
113,KOTAKBANK,BANKS-PRIVATE,LargeCap,927.65,940.0,930.55,18.87,5.15,5.74,5.8,YES
114,DCBBANK,BANKS-PRIVATE,MidCap,191.2,196.9,190.85,6.77,1.43,2.41,1.63,YES
115,PERSISTENT,IT,SmallCap,584.1,587.0,580.25,37.17,9.69,10.1,9.16,YES
116,VIDEOIND,REALTY-HOUSEHOLD,SmallCap,100.95,102.1,99.0,#REF!,-2.52,-5.67,-8.57,NO
117,ASHOKLEY,AUTO-AUTOMOBILES AND AUTO PARTS,LargeCap,85.55,87.15,85.8,3.76,0.75,0.27,1.02,YES
118,NIITTECH,IT,SmallCap,527.3,531.0,512.1,45.55,7.96,5.12,9.36,YES
119,DISHTV,MEDIA-ENTERTAINMENT,MidCap,92.2,95.8,92.0,6.5,0.64,4.53,0.38,NO
120,JBFIND,TEXTILES AND APPAREL,SmallCap,280.45,289.45,281.0,-26.52,2.49,2.65,1.2,NO
121,DOLPHINOFF,ENERGY-OIL & GAS,MiniCap,121.1,123.4,120.05,24.54,7.86,-3.25,-2.77,YES
122,TORNTPHARM,PHARMA,LargeCap,1338.6,1348.0,1316.1,102.42,17.19,16.78,17.28,YES
123,VMART,TEXTILES AND APPAREL,SmallCap,1057.1,1062.0,1029.15,14.79,8.31,0.25,5.07,YES
124,SUPPETRO,CHEMICALS,SmallCap,409.75,417.0,400.0,5.81,2.74,5.63,4.73,YES
125,TAKE,IT,SmallCap,139.8,141.15,138.0,9.85,1.98,2.56,2.59,YES
126,QUESS,IT,MidCap,879.0,898.0,855.0,7.77,1.52,0,2.13,YES
127,KTKBANK,BANKS-PRIVATE,SmallCap,168.8,171.2,166.0,22.03,5.14,5.67,6.45,YES
128,BANCOINDIA,AUTO-AUTO ANCL AND COMPONENTS,SmallCap,232.55,234.7,229.3,12.57,2.16,3.02,5.68,YES
129,INDIACEM,CEMENTS,MidCap,214.25,216.9,211.9,4.37,0.1,1.67,1.43,NO
130,BANKINDIA,BANKS-PSU,LargeCap,180.85,186.4,180.5,-84.58,-19.01,-44.22,-8.32,NO
131,JAGSNPHARM,PHARMA,MiniCap,44.7,46.0,44.0,1.24,0.13,0.76,0.24,YES
132,CANFINHOME,FINANCIAL SERVICES-NBFC,MidCap,2804.9,2832.95,2720.0,59.02,15.84,17.82,18.68,YES
133,BRFL,TEXTILES AND APPAREL,SmallCap,143.0,145.05,139.05,4.01,0.36,0.76,0.5,NO
134,MOLDTECH,REALTY-HOUSEHOLD,MiniCap,52.95,53.05,51.6,2.05,3.58,0.18,0.47,YES
135,ASAHISONG,CHEMICALS,MiniCap,312.0,314.45,308.1,17.1,3.38,5.2,2.23,YES
136,OBEROIRLTY,REALTY,MidCap,411.65,414.9,407.05,12.68,6.17,1.9,3.18,YES
137,BATAINDIA,FOOTWEAR,MidCap,574.85,580.0,572.0,17,3.49,2.17,3.93,YES
138,HINDUNILVR,FMCG,LargeCap,996.35,996.0,980.2,18.86,4.49,5.1,5.42,YES
139,POLYMED,INFRA-MACHINERY EQUIPMENT,SmallCap,257.65,255.05,245.0,10.94,2.39,3.27,2.87,YES
140,VIPCLOTHNG,TEXTILES AND APPAREL,MiniCap,53.95,54.95,53.0,#REF!,#REF!,#REF!,#REF!,NO
141,BBTC,FMCG-BEVERAGES,MidCap,888.1,895.7,882.1,54.6,-1.48,-2.33,-0.53,NO
142,PANAMAPET,CHEMICALS,MiniCap,150.2,154.0,149.15,6.24,1.57,1.2,2.31,YES
143,CADILAHC,PHARMA,LargeCap,470.15,495.0,473.5,14.87,4.21,3.8,3.48,YES
144,GHCL,DIVERSIFIED,SmallCap,256.6,261.3,256.0,25.76,6.63,7.89,10.25,YES
145,MASTEK,IT,MiniCap,349.75,363.0,349.8,5.62,0.32,2.38,1.48,YES
146,SUDARSCHEM,CHEMICALS,SmallCap,407.25,410.9,395.35,10.1,1.9,3.17,4.55,YES
147,DHAMPURSUG,FMCG-SUGAR,SmallCap,230.35,232.9,227.6,4.13,1.47,18.61,5.38,YES
